model name,number,active features,result
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.981
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.982
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.98
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.981
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.984
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.979
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.98
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.982
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.984
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.96
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.96
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.96
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.96
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.96
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.96
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.96
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.96
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.96
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.97
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.97
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.97
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.97
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.96
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.96
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.96
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.97
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.96
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.99
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.99
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.988
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.99
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.99
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.99
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.99
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.99
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.99
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.99
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.992
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.992
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.992
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.992
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.992
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.992
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.992
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.992
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.992
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.992
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.992
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.992
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.992
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.972
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.968
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.974
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.966
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.9
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.92
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.04
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.92
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.9
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.9
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.994
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.995
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.995
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.994
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.001
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.994
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.994
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.994
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.994
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.994
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.996
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.995
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.996
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.995
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.996
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.996
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.996
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.996
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.996
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.996
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.995
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.995
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.995
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.995
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.995
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.995
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.996
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.995
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.995
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.981
